127.0.0.1 - - [29/Jun/2025:03:01:21 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:01:24 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:18 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:23 +0530] "GET /Hospital_Management_System/user_login.jsp HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:42 +0530] "POST /Hospital_Management_System/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:42 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 8341
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:44 +0530] "GET /Hospital_Management_System/upload_medical_record.jsp HTTP/1.1" 200 3132
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:45 +0530] "GET /Hospital_Management_System/bootstrap.min.css HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:56 +0530] "POST /Hospital_Management_System/UploadMedicalRecord HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:03:56 +0530] "GET /Hospital_Management_System/index.jsp?msg=uploadSuccess HTTP/1.1" 200 8341
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:19:43 +0530] "GET /Hospital_Management_System/index.jsp?msg=uploadSuccess HTTP/1.1" 200 7931
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:19:46 +0530] "GET /Hospital_Management_System/user_login.jsp HTTP/1.1" 200 3260
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:20:02 +0530] "POST /Hospital_Management_System/userLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:20:02 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 8335
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:20:04 +0530] "GET /Hospital_Management_System/medical_record.jsp HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:22:54 +0530] "GET /Hospital_Management_System/index.jsp HTTP/1.1" 200 8336
0:0:0:0:0:0:0:1 - - [29/Jun/2025:03:22:58 +0530] "GET /Hospital_Management_System/medical_records.jsp HTTP/1.1" 200 68
